simpleName,repList,,count,samID,newsamID,comments,latitude,longitude,uniqIDnowuseless,DisplayName
rheims,rheims,,5,924,924,,49.2628,4.0347,924,Rheims
pyee,pyee,,5,925,925,,18.81666667,95.21666667,925,Pyee
portland,portland|port land,,5,926,926,,NA,NA,926,Portland
placedebellecour,place de belle cour,,5,927,927,,45.7575,4.832222222,927,Place De Belle Cour
pindus|pindusmount,pindus|pindus'|pindus' mount,,7,928|1962,928,|,40.08888889,20.92527778,928|1962,Pindus
phenicia,phenicia,,5,929,929,,34.12361111,35.65111111,929,Phenicia
pescara,pescara,,5,930,930,,42.46388889,14.21416667,930,Pescara
perpignan,perpignan,,5,931,931,,42.6986,2.8956,931,Perpignan
pelion,pelion,,5,932,932,,39.43861111,23.04638889,932,Pelion
pehatconk,pehatconk,,5,933,933,,40.63648333,-75.17490556,933,Pehatconk
paradice,paradice,,5,934,934,biblical place,NA,NA,934,Paradice
palermo,palermo,,5,935,935,,38.11666667,13.36666667,935,Palermo
novazembla,nova zembla|nova-zembla,,5,936,936,,74,56,936,Nova Zembla
northwales,north wales,,5,937,937,,52.937,-3.659,937,North Wales
newton,newton,,5,939,939,,42.33694444,-71.20972222,939,Newton
newforest,new forest,,5,940,940,,50.86666667,-1.566666667,940,New Forest
natick,natick,,5,942,942,,42.28333333,-71.35,942,Natick
narragansetbay,narra ganset-bay|narraganset bay,,5,943,943,,41.6,-71.35,943,Narraganset-Bay
nacogdoches,nacogdoches,,5,944,944,,31.60888889,-94.65083333,944,Nacogdoches
mountgilead,mount gilead,,5,945,945,biblical place,NA,NA,945,Mount Gilead
mountcarmel,mount carmel,,5,946,946,biblical place,NA,NA,946,Mount Carmel
moscow,moscow,,5,947,947,,55.75,37.61666667,947,Moscow
morringtoncastle,mor rington castle,,5,948,948,,53.5052,-6.7531,948,Morrington Castle
mona,mona,,5,950,950,,53.28333333,-4.333333333,950,Mona
mitylene,mitylene,,5,951,951,,39.1,26.55,951,Mitylene
metelin,metelin,,5,952,952,,37.16666667,22,952,Metelin
mecca|meccas,mecca|mec ca|mecca's,,7,953|2083,953,|,21.41666667,39.81666667,953|2083,Mecca
mazarine,mazarine,,5,954,954,title-not a place,NA,NA,954,Mazarine
matagorda,matagorda,,5,955,955,,28.69083333,-95.9675,955,Matagorda
marmande,marmande,,5,956,956,,44.5,0.17,956,Marmande
marlborough,marlbo rough|marlborough,,5,957,957,,51.42,-1.73,957,Marlbo Rough
maidenlane,maiden- lane,,5,958,958,,40.70743056,-74.007675,958,Maiden Lane
loudouncastle,loudoun castle,,5,959,959,,55.61061111,-4.372788889,959,Loudoun Castle
lorette,lorette,,5,960,960,,45.5128,4.5819,960,Lorette
lombardy,lombardy,,5,961,961,,45.58555556,9.930277778,961,Lombardy
lithuania,lithuania,,5,962,962,,55,24,962,Lithuania
lincolnsinn|lincolnsinnfields,lincolns-inn|lincolns inn|lincoln's-inn|lincoln's inn fields|lincoln's-inn fields|lincoln's-inn- fields,,9,963|1157,963,|,51.5161,-0.1166,963|1157,Lincolns-Inn
lima,lima,,5,964,964,,-12.04333333,-77.02833333,964,Lima
lemburg,lemburg,,5,965,965,,49.83,24.01416667,965,Lemburg
